Week number,Week ending,44 and less (M),44 to 65 (M),65+ (M),44 and less (F),44 to 65 (F),65+ (F),Region,Year,Deaths
1,08/01/2021,183,830,4688,123,541,5329,EandW,2021,Non-COVID
2,15/01/2021,221,803,4367,141,533,4732,EandW,2021,Non-COVID
3,22/01/2021,225,837,4047,164,507,4474,EandW,2021,Non-COVID
4,29/01/2021,235,763,3974,146,488,4409,EandW,2021,Non-COVID
5,05/02/2021,210,723,3938,126,485,4390,EandW,2021,Non-COVID
6,12/02/2021,259,746,3799,153,504,4202,EandW,2021,Non-COVID
7,19/02/2021,224,776,3856,125,522,4227,EandW,2021,Non-COVID
8,26/02/2021,220,744,3915,128,474,4219,EandW,2021,Non-COVID
9,05/03/2021,252,746,3788,120,478,4103,EandW,2021,Non-COVID
10,12/03/2021,254,780,3722,133,503,4094,EandW,2021,Non-COVID
11,19/03/2021,212,789,3726,145,490,3986,EandW,2021,Non-COVID
12,26/03/2021,231,723,3762,150,471,3989,EandW,2021,Non-COVID
13,02/04/2021,211,613,3090,109,414,3364,EandW,2021,Non-COVID
14,09/04/2021,202,666,3487,130,456,3778,EandW,2021,Non-COVID
15,16/04/2021,241,821,3985,138,507,4384,EandW,2021,Non-COVID
16,23/04/2021,228,840,3782,155,498,4178,EandW,2021,Non-COVID
17,30/04/2021,187,756,3950,140,480,3974,EandW,2021,Non-COVID
18,07/05/2021,210,592,3275,103,395,3282,EandW,2021,Non-COVID
19,14/05/2021,215,809,4047,127,482,4333,EandW,2021,Non-COVID
20,21/05/2021,278,809,3953,135,525,4053,EandW,2021,Non-COVID
21,28/05/2021,248,764,3832,157,482,4050,EandW,2021,Non-COVID
22,04/06/2021,183,656,3181,94,377,3189,EandW,2021,Non-COVID
23,11/06/2021,258,794,4065,141,503,4359,EandW,2021,Non-COVID
24,18/06/2021,227,751,3725,145,534,3975,EandW,2021,Non-COVID
25,25/06/2021,197,702,3484,121,422,3665,EandW,2021,Non-COVID
26,02/07/2021,197,735,3572,128,456,3611,EandW,2021,Non-COVID
27,09/07/2021,235,724,3891,141,504,4074,EandW,2021,Non-COVID
28,16/07/2021,229,752,3825,134,516,4023,EandW,2021,Non-COVID
29,23/07/2021,220,726,3803,139,483,4046,EandW,2021,Non-COVID
30,30/07/2021,232,759,3933,129,492,4186,EandW,2021,Non-COVID
31,06/08/2021,208,759,3824,122,526,4221,EandW,2021,Non-COVID
32,13/08/2021,225,743,3931,141,485,4276,EandW,2021,Non-COVID
